CD_Name,MdHHIncE,RecycleRate
"Washington Heights, Inwood & Marble Hill",37685,0.1496052488
"Wakefield, Williamsbridge & Woodlawn",43541,0.1825801691
Upper West Side & West Side,96009,0.2568089775
Upper East Side,104602,0.2537186704
"Tottenville, Great Kills & Annadale",84670,0.2103789764
Sunset Park & Windsor Terrace,43351,0.1976966439
Sunnyside & Woodside,54136,0.1983882326
"Sheepshead Bay, Gerritsen Beach & Homecrest",49392,0.1938019833
"Riverdale, Fieldston & Kingsbridge",56877,0.2218902676
"Ridgewood, Glendale & Middle Village",54924,0.2141847027
Richmond Hill & Woodhaven,58578,0.1879871942
"Queens Village, Cambria Heights & Rosedale",76002,0.1966788421
"Port Richmond, Stapleton & Mariner's Harbor",57975,0.1967477288
"Pelham Parkway, Morris Park & Laconia",43503,0.1635755096
"Park Slope, Carroll Gardens & Red Hook",93969,0.3027979993
New Springville & South Beach,71925,0.2114852874
"Murray Hill, Gramercy & Stuyvesant Town",101769,0.222046243
"Morris Heights, Fordham South & Mount Hope",24517,0.1196460413
"Jamaica, Hollis & St. Albans",51251,0.157345354
Jackson Heights & North Corona,47555,0.1379194509
"Hunts Point, Longwood & Melrose",21318,0.1041056305
Howard Beach & Ozone Park,60828,0.1838977728
"Hamilton Heights, Manhattanville & West Harlem",41736,0.1558882094
Greenpoint & Williamsburg,50778,0.1416209183
Forest Hills & Rego Park,64372,0.2102469128
"Flushing, Murray Hill & Whitestone",51251,0.1921236638
Flatbush & Midwood,41681,0.1459953841
"Far Rockaway, Breezy Point & Broad Channel",46944,0.1233508922
Elmhurst & South Corona,45661,0.1306042716
East New York & Starrett City,33700,0.114029688
East Harlem,30335,0.1404380708
"East Flatbush, Farragut & Rugby",45954,0.1340020608
"Crown Heights South, Prospect Lefferts & Wingate",41095,0.1151190549
Crown Heights North & Prospect Heights,41075,0.1562406034
"Concourse, Highbridge & Mount Eden",25745,0.103573015
"Co-op City, Pelham Bay & Schuylerville",54685,0.2145091207
Chinatown & Lower East Side,40919,0.1564849238
"Chelsea, Clinton & Midtown Business Distric",92583,0.240924998
Central Harlem,36468,0.133018108
"Castle Hill, Clason Point & Parkchester",34779,0.1058074491
Canarsie & Flatlands,63106,0.1748762668
Bushwick,38274,0.1324628078
Brownsville & Ocean Hill,27772,0.0914637371
Brooklyn Heights & Fort Greene,73290,0.2372046479
Brighton Beach & Coney Island,30159,0.1342603003
"Briarwood, Fresh Meadows & Hillcrest",59124,0.194293149
"Borough Park, Kensington & Ocean Parkway",38215,0.1560796589
Bensonhurst & Bath Beach,48252,0.1833929802
"Belmont, Crotona Park East & East Tremont",22343,0.1149659637
Bedford-Stuyvesant,36528,0.1258175294
"Bedford Park, Fordham North & Norwood",30541,0.1364545818
"Bayside, Douglaston & Little Neck",74960,0.2530636461
Bay Ridge & Dyker Heights,57006,0.2208547491
"Battery Park City, Greenwich Village & Soho",119596,0.2754226284
Astoria & Long Island City,50716,0.2152544328
